Archive,Date,headline,Headline link,category
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,Metro Brands promoters buy three more luxury apartments in Mumbai’s Worli for Rs 243 cr,https://economictimes.indiatimes.com/industry/services/property-/-cstruction/metro-brands-promoters-buy-three-more-luxury-apartments-in-mumbais-worli-for-rs-243-cr/articleshow/116862741.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"The Day of the Jackal: Here’s release date, time, storyline, cast and where to watch",https://economictimes.indiatimes.com/news/international/us/the-day-of-the-jackal-heres-release-date-time-storyline-cast-and-where-to-watch/articleshow/116861338.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Anaconda: Check out Paul Rudd and Jack Black starrer movie’s release date, storyline and creative team",https://economictimes.indiatimes.com/news/international/us/anaconda-check-out-paul-rudd-and-jack-black-starrer-movies-release-date-storyline-and-creative-team/articleshow/116861050.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,More and more people are falling below the poverty line in China; Xi Jinping led government urges more aid for people in need as economy falters,https://economictimes.indiatimes.com/news/international/us/more-and-more-people-are-falling-below-the-poverty-line-in-china-xi-jinping-led-government-urges-more-aid-for-people-in-need-as-economy-falters/articleshow/116860595.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,Karur Vysya Bank reports 14 per cent loan growth; South Indian Bank follows with 12 per cent,https://economictimes.indiatimes.com/industry/banking/finance/banking/karur-vysya-bank-reports-14-per-cent-loan-growth-south-indian-bank-follows-with-12-per-cent/articleshow/116860970.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,Microfinance company VFS Capital applies for small finance bank licence,https://economictimes.indiatimes.com/industry/banking/finance/banking/microfinance-company-vfs-capital-applies-for-small-finance-bank-licence/articleshow/116860688.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,Standard Glass IPO to hit markets next week; sets price band at Rs 133-140 per share,https://economictimes.indiatimes.com/markets/ipos/fpos/standard-glass-ipo-to-hit-markets-next-week-sets-price-band-at-rs-133-140-per-share/articleshow/116860933.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Regulation, deals and crypto: Fintech themes to watch in 2025",https://economictimes.indiatimes.com/tech/technology/regulation-deals-and-crypto-fintech-themes-to-watch-in-2025/articleshow/116859813.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,Apple Vision Pro: Apple Vision Pro production halted amid weak demand: report,https://economictimes.indiatimes.com/tech/technology/apple-vision-pro-production-halted-amid-weak-demand-report/articleshow/116859986.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,Bank lending slowed across sectors in November,https://economictimes.indiatimes.com/industry/banking/finance/banking/bank-lending-slowed-across-sectors-in-november/articleshow/116859976.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Suzuki Motorcycle India sales rise 22 pc to 96,804 units in December",https://economictimes.indiatimes.com/industry/auto/two-wheelers-three-wheelers/suzuki-motorcycle-india-sales-rise-22-pc-to-96804-units-in-december/articleshow/116860238.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,Finmin asks banks and insurance companies to expedite resolution of public grievances,https://economictimes.indiatimes.com/news/economy/policy/finmin-asks-banks-and-insurance-companies-to-expedite-resolution-of-public-grievances/articleshow/116859204.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Gold begins New Year on a high, climbs Rs 440 to Rs 79,390 per 10g",https://economictimes.indiatimes.com/markets/commodities/gold-begins-new-year-on-a-high-climbs-rs-440-to-rs-79390-per-10g/articleshow/116859012.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"US stock market predictions: No Santa Claus rally this time; How will New York Stock Exchange, Wall Street perform?",https://economictimes.indiatimes.com/news/international/us/us-stock-market-predictions-no-santa-claus-rally-this-time-how-will-new-york-stock-exchange-wall-street-perform/articleshow/116858692.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Influential economist Mohamed El-Erian labels US as K economy, says lower-income households are struggling in America",https://economictimes.indiatimes.com/news/international/us/influential-economist-mohamed-el-erian-labels-us-as-k-economy-says-lower-income-households-are-struggling-in-america/articleshow/116858481.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,A-One Steels India files draft papers with Sebi; eyes Rs 650-crore IPO,https://economictimes.indiatimes.com/markets/ipos/fpos/a-one-steels-india-files-draft-papers-with-sebi-eyes-rs-650-crore-ipo/articleshow/116857824.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,REET 2024: Registration ends on January 15; Here is direct link and steps to register for the exam,https://economictimes.indiatimes.com/jobs/exams-results/reet-2024-registration-ends-on-january-15-here-is-direct-link-and-steps-to-register-for-the-exam/articleshow/116858319.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Rs 2000 notes withdrawal: Rs 6,691 cr worth such notes still with public",https://economictimes.indiatimes.com/news/economy/finance/rs-2000-notes-withdrawal-rs-6691-cr-worth-such-notes-still-with-public/articleshow/116858090.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,Reliance Power arm Sasan Power pays $150 mn debt to IIFCL,https://economictimes.indiatimes.com/industry/energy/power/reliance-power-arm-sasan-power-pays-150-mn-debt-to-iifcl/articleshow/116856370.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,Kirloskar companies to fight in court SEBI's disclosure order on family deed settlement,https://economictimes.indiatimes.com/news/company/corporate-trends/kirloskar-companies-to-fight-in-court-sebis-disclosure-order-on-family-ded-settlement/articleshow/116854048.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Nissan Motor India sales up 51.42% at 11,676 units in December",https://economictimes.indiatimes.com/industry/auto/auto-news/nissan-motor-india-sales-up-51-42-at-11676-units-in-december/articleshow/116856020.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Tobacco exports to cross Rs 13,000 cr this yr: Official",https://economictimes.indiatimes.com/industry/cons-products/tobacco/tobacco-exports-to-cross-rs-13000-cr-this-yr-official/articleshow/116855503.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,Hero MotoCorp gets additional tax demand of Rs 26.4 cr,https://economictimes.indiatimes.com/industry/auto/auto-news/hero-motocorp-gets-additional-tax-demand-of-rs-26-4-cr/articleshow/116854293.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Maruti Suzuki India sales up 30pc in Dec at 1,78,248 units",https://economictimes.indiatimes.com/industry/auto/cars-uvs/maruti-suzuki-india-sales-up-30pc-in-dec-at-178248-units/articleshow/116854253.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Toyota Kirloskar Motor December sales up 29% at 29,529 units",https://economictimes.indiatimes.com/industry/auto/auto-news/toyota-kirloskar-motor-december-sales-up-29-at-29529-units/articleshow/116855091.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Kia India sales up 6 pc in 2024 at 2,55,038 units",https://economictimes.indiatimes.com/industry/auto/auto-news/kia-india-sales-up-6-pc-in-2024-at-255038-units/articleshow/116854518.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Key money updates in 2025: Major changes to UPI, credit card lounge access, fixed deposit, income tax and EPFO",https://economictimes.indiatimes.com/wealth/save/january-2025-major-financial-changes-from-upi-to-lounge-access/articleshow/116790042.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,HDFC Flexi Cap Fund turned Rs 1 lakh lumpsum investment into Rs 2 crore in 30 years,https://economictimes.indiatimes.com/mf/analysis/hdfc-flexi-cap-fund-turned-rs-1-lakh-lumpsum-investment-into-rs-2-crore-in-30-years/articleshow/116853074.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Hyundai Motor India December sales down 2.4 pc at 55,078 units",https://economictimes.indiatimes.com/industry/auto/auto-news/hyundai-motor-india-december-sales-down-2-4-pc-at-55078-units/articleshow/116852884.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"ATF price cut by 1.5%, commercial LPG rates down Rs 14.5 per cylinder",https://economictimes.indiatimes.com/industry/energy/oil-gas/atf-price-cut-by-1-5-commercial-lpg-rates-down-rs-14-5-per-cylinder/articleshow/116850796.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"Bajaj Auto December sales decline to 3,23,125 units",https://economictimes.indiatimes.com/industry/auto/auto-news/bajaj-auto-december-sales-decline-to-323125-units/articleshow/116848157.cms,Economy/Finance
"Archives > 2025 > January > 01 Jan, 2025",01-01-2025,"quick commerce: New Year’s Eve: Quick commerce, food delivery firms post record orders",https://economictimes.indiatimes.com/tech/technology/quick-commerce-food-delivery-firms-clock-order-spike-on-new-years-eve/articleshow/116833643.cms,Economy/Finance
